Month,Lite_Count,Standard_Count,Pro_Count,Total_Restaurants,Revenue_MXN,Creator_Costs_MXN,Marketing_Budget_MXN,Shares,Marketing_per_Standard_MXN,Marketing_per_Pro_MXN,Contribution_per_Lite_MXN,Contribution_per_Standard_MXN,Contribution_per_Pro_MXN,Profit_MXN,Monthly_Recurring_Profit_MXN
1,2,6,2,10,36400,20000,5000,10,500.00,1000.00,1300.00,1100.00,1100.00,11400,11400
2,4,12,4,20,72800,40000,5000,20,250.00,500.00,1300.00,1350.00,1600.00,27800,27800
3,6,18,6,30,109200,60000,5000,30,166.67,333.33,1300.00,1433.33,1766.67,44200,44200
4,8,24,8,40,145600,80000,5000,40,125.00,250.00,1300.00,1475.00,1850.00,60600,60600
